RecordID,Timestamp,Hostname,EventID,Provider,Level,Account,SourceIP,Process,CommandLine,FilePath,SHA256,Message,Mitre_Tactic,Mitre_Technique,Mitre_Technique_ID,Notes
27,2025-06-24 04:36:20,WIN-HOST-074,3,Microsoft-Windows-Sysmon,Information,krbtgt,104.53.20.242,C:\Windows\System32\mpssvc.dll,"C:\Windows\System32\mpssvc.dll -ExecutionPolicy Bypass -NoProfile -WindowStyle Hidden -Command ""Invoke-Expression ...""",C:\Users\krbtgt\AppData\Local\Temp\e19744c6.tmp,6bd634b7d209f32a3e59f819b089bef4fe12d9e53f4ba43e9e07ad3d11d3a6c4,Command executed via scripting engine.,Execution,Command and Scripting Interpreter,T1059,Suspicious scripting activity; check base64 or obfuscation.
28,2025-08-07 00:17:06,WIN-HOST-046,11,Microsoft-Windows-Sysmon,Information,svc_sql,186.164.183.26,C:\Windows\System32\taskhostw.exe,"""C:\Windows\System32\taskhostw.exe"" -arg6 /c ""do_something""",C:\Users\svc_sql\AppData\Local\Temp\71109d82.tmp,7775f0e74e8076944a27e2e7bfcaff6f26a4f2ff00b9df1a8726c68f140da962,File encryption/ransomware activity observed (file renames & extensions).,Impact,Ransomware,T1486,Mass file modifications and suspicious file extensions.
29,2025-09-11 23:28:10,WIN-HOST-052,4702,Microsoft-Windows-Security-Auditing,Warning,john.doe,63.167.241.4,C:\Windows\System32\cmd.exe,"""C:\Windows\System32\cmd.exe"" -arg5 /c ""do_something""",C:\Users\john.doe\AppData\Local\Temp\b9556233.tmp,90f8c41a5adfe931381bb6aab797d968dd5db7d9979b1da5a77d93f07eb92199,Scheduled task created or executed.,Persistence,Scheduled Task/Job,T1053,Persistence via scheduled task.
30,2025-08-07 21:39:06,WIN-HOST-024,4688,Microsoft-Windows-Security-Auditing,Information,svc_updater,236.91.34.124,C:\Windows\System32\mpssvc.dll,"""C:\Windows\System32\mpssvc.dll"" -arg5 /c ""do_something""",C:\Users\svc_updater\AppData\Local\Temp\bf612978.tmp,934595778db44c93147ad8285d713a09b10dc378eae3a32835ee59d8f7963d77,A new process has been created.,Discovery,System Network Connections Discovery,T1049,
31,2025-09-12 22:49:40,WIN-HOST-070,7045,Microsoft-Windows-Security-Auditing,Warning,SYSTEM,217.68.31.165,C:\Windows\System32\sc.exe,"""C:\Windows\System32\cmd.exe"" -arg4 /c ""do_something""",C:\Users\SYSTEM\AppData\Local\Temp\a2284e58.tmp,9c3c0f8c20ae4f55836d67e03ea6b9f194f1b7e6dec905c65a7f263c36e70ea3,Service installation detected.,Persistence,Create or Modify System Process,T1543,Service created - could be persistence.
32,2025-08-02 03:03:38,WIN-HOST-028,3001,Microsoft-Windows-InternetExplorer,Information,svc_sql,42.37.168.136,C:\Windows\System32\svchost.exe,"""C:\Windows\System32\svchost.exe"" -arg4 /c ""do_something""",C:\Users\svc_sql\AppData\Local\Temp\2aff3eff.tmp,b22e70eabfbc808f4beb8fc886fc366e337df4ce4ae3a71257c028d5df02d19c,User clicked on compromised web resource.,Initial Access,Drive-by Compromise,T1189,Possible drive-by compromise.
33,2025-06-19 21:45:49,WIN-HOST-059,4698,Microsoft-Windows-Eventlog,Warning,svc_updater,124.150.127.121,C:\Windows\System32\taskhostw.exe,"""C:\Windows\System32\taskhostw.exe"" -arg3 /c ""do_something""",C:\Users\svc_updater\AppData\Local\Temp\a4be6dc0.tmp,e32355a12c89a0e39fec300165378c92b467538cd98cac342fd4a3fe0d951073,Scheduled task created or executed.,Persistence,Scheduled Task/Job,T1053,Persistence via scheduled task.
34,2025-07-23 15:07:09,WIN-HOST-070,5156,Microsoft-Windows-Security-Auditing,Information,SYSTEM,14.162.98.43,C:\Program Files\OpenSSH\ssh.exe,"""C:\Program Files\OpenSSH\ssh.exe"" -arg4 /c ""do_something""",C:\Users\SYSTEM\AppData\Local\Temp\0705bbe3.tmp,c798ed0a96b4ab4e3de311502daf848f32bebc4889805ae8ff2aa15ddf9845eb,Encrypted outbound connection established.,Command and Control,Encrypted Channel,T1573,Potential C2 channel over TLS.
35,2025-07-30 13:22:51,WIN-HOST-011,4663,Microsoft-Windows-Security-Auditing,Information,Guest,152.84.56.129,C:\Windows\System32\cmd.exe,"""C:\Windows\System32\cmd.exe"" -arg2 /c ""do_something""",C:\Users\Guest\AppData\Local\Temp\32aa46fa.tmp,3167b337595fc3b2af03608e17ddcbaffcaa78a7e6200af18d6906d7861882ba,File encryption/ransomware activity observed (file renames & extensions).,Impact,Ransomware,T1486,Mass file modifications and suspicious file extensions.
36,2025-06-23 10:11:14,WIN-HOST-073,5156,Microsoft-Windows-Security-Auditing,Warning,svc_backup,158.143.201.101,C:\Windows\System32\svchost.exe,"""C:\Windows\System32\svchost.exe"" -arg6 /c ""do_something""",C:\Users\svc_backup\AppData\Local\Temp\0743cf61.tmp,6a2868e896ff2e6a4cab82ecac1675ab0a001cb37f98008eea471514a0ab673b,Network scanning activity detected.,Discovery,Network Service Scanning,T1046,Port/protocol scanning pattern observed.
37,2025-08-23 13:04:44,WIN-HOST-027,7,Microsoft-Windows-Sysmon,Information,IIS_APPPOOL\DefaultAppPool,61.26.133.221,C:\Windows\System32\rundll32.exe,"""C:\Program Files\OpenSSH\ssh.exe"" -arg2 /c ""do_something""",C:\Users\IIS_APPPOOL\DefaultAppPool\AppData\Local\Temp\fed9c281.tmp,2f439e71db5aeb2fe3f40afacd3a61ebaed528197afac35b4b6f4a09cee036ab,Attempt to read LSASS memory process or dump credentials detected.,Credential Access,Credential Dumping,T1003,Possible Mimikatz-like activity: access to lsass.exe memory.
38,2025-08-19 17:39:48,WIN-HOST-059,1,Microsoft-Windows-Sysmon,Information,john.doe,2.98.127.115,C:\Windows\System32\cmd.exe,"""C:\Windows\System32\cmd.exe"" -arg5 /c ""do_something""",C:\Users\john.doe\AppData\Local\Temp\72f55924.tmp,c97dc19ba4270b199db13bd17d37ca099617641e15d5722f6a2746b4255905ac,Process Create.,Exfiltration,Exfiltration Over C2 Channel,T1041,
39,2025-09-10 17:59:50,WIN-HOST-069,4625,Microsoft-Windows-Security-Auditing,Warning,svc_backup,67.228.44.175,C:\Program Files\Git\bin\bash.exe,"""C:\Program Files\Git\bin\bash.exe"" -arg3 /c ""do_something""",C:\Users\svc_backup\AppData\Local\Temp\3bc33883.tmp,cace327f18aadeaa7a1595d33d0b599976a91027d879c5456b7f2593e0d2a7bf,An account failed to log on.,Credential Access,Input Capture: Keylogging,T1056.001,
40,2025-09-11 04:24:42,WIN-HOST-032,4688,Microsoft-Windows-Sysmon,Information,john.doe,40.98.24.184,C:\Program Files\7-Zip\7z.exe,"""C:\Program Files\7-Zip\7z.exe"" -arg5 /c ""do_something""",C:\Users\john.doe\AppData\Local\Temp\dd6b4cd8.tmp,df8b09c730418acfd180301ea662df2e44fbf1be752ed65c7cafb76e8b0a7aff,Registry query or modification.,Discovery,Query Registry,T1012,Possible discovery of startup keys or persistence mechanisms.
41,2025-07-20 11:23:41,WIN-HOST-068,1102,Microsoft-Windows-Eventlog,Warning,SYSTEM,169.211.215.199,C:\Program Files\Git\bin\bash.exe,"""C:\Program Files\Git\bin\bash.exe"" -arg2 /c ""do_something""",C:\Users\SYSTEM\AppData\Local\Temp\05f8c9fa.tmp,9aee58b0d40a12cea38bc7550088774b10fca4b989a5fe8452c15f5c0accd85f,The audit log was cleared.,Persistence,Boot or Logon Autostart Execution,T1547,
42,2025-09-06 15:44:20,WIN-HOST-014,1102,Microsoft-Windows-Eventlog,Warning,bob,69.184.156.217,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,"""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"" -arg2 /c ""do_something""",C:\Users\bob\AppData\Local\Temp\b29d6101.tmp,14a1d2de7e313703bf036c752b9d61bb1b4945c416e0943b8d0a2b8c662e7641,The audit log was cleared.,Exfiltration,Exfiltration Over C2 Channel,T1041,
43,2025-08-15 13:44:17,WIN-HOST-027,3,Microsoft-Windows-Sysmon,Information,IIS_APPPOOL\DefaultAppPool,129.98.124.241,C:\Program Files\7-Zip\7z.exe,"""C:\Program Files\7-Zip\7z.exe"" -arg1 /c ""do_something""",C:\Users\IIS_APPPOOL\DefaultAppPool\AppData\Local\Temp\36ecc4bd.tmp,29d3b36f05ccae6b81c5275eed2f2a33ef516193e88cc237848c3da5d9950e15,Network Connection detected.,Privilege Escalation,Exploitation for Privilege Escalation,T1068,
44,2025-07-18 06:43:02,WIN-HOST-055,1,Microsoft-Windows-Security-Auditing,Warning,svc_updater,0.232.94.206,C:\Windows\System32\svchost.exe,"""C:\Windows\System32\svchost.exe"" -arg2 /c ""do_something""",C:\Users\svc_updater\AppData\Local\Temp\f9e0b3bc.tmp,f6e947796102c58b192d8cb6af6ea9f8ee9af6cf260180ee6ed0208435b66582,Scheduled task created or executed.,Execution,Scheduled Task/Job,T1053.005,Persistence via scheduled task.
45,2025-09-02 04:11:38,WIN-HOST-057,1102,Microsoft-Windows-Eventlog,Warning,bob,143.151.151.176,C:\Windows\System32\taskhostw.exe,"C:\Windows\System32\taskhostw.exe -ExecutionPolicy Bypass -NoProfile -WindowStyle Hidden -Command ""Invoke-Expression ...""",C:\Users\bob\AppData\Local\Temp\974bec2e.tmp,aa80c43ecdfb8f2f55a1157b17e7a0a655b13d8158f3f77862b44ac8470b33b5,Command executed via scripting engine.,Execution,Command and Scripting Interpreter,T1059,Suspicious scripting activity; check base64 or obfuscation.
46,2025-07-12 18:30:53,WIN-HOST-020,5156,Microsoft-Windows-Sysmon,Information,bob,213.168.4.235,C:\Windows\System32\svchost.exe,"""C:\Windows\System32\svchost.exe"" -arg5 /c ""do_something""",C:\Users\bob\AppData\Local\Temp\1b40eab5.tmp,3badbd9d555ae150dc0e4be489c5a1843e2abcd803c5418c8a2eeea2a7772385,Encrypted outbound connection established.,Command and Control,Encrypted Channel,T1573,Potential C2 channel over TLS.
47,2025-09-05 11:44:15,WIN-HOST-006,5145,Microsoft-Windows-Security-Auditing,Information,svc_updater,220.87.1.49,C:\Program Files\OpenSSH\ssh.exe,"""C:\Program Files\OpenSSH\ssh.exe"" -arg3 /c ""do_something""",C:\Users\svc_updater\AppData\Local\Temp\d0a276d3.tmp,781ebc1916069e30f50264ba8a5c083f72183bc35b9195a63b3c12ab795a72b8,A network share object was checked to see whether client can be granted desired access.,Privilege Escalation,Valid Accounts,T1078,
48,2025-07-13 15:22:35,WIN-HOST-032,7045,Service Control Manager,Information,IIS_APPPOOL\DefaultAppPool,223.237.44.67,C:\Windows\System32\cmd.exe,"""C:\Windows\System32\cmd.exe"" -arg6 /c ""do_something""",C:\Users\IIS_APPPOOL\DefaultAppPool\AppData\Local\Temp\8cd74c75.tmp,660c0167d09b05c9c1ec74fbea63f5c27194d1736dde5cf82f8126b5ddfaa819,A service was installed in the system.,Exfiltration,Exfiltration Over C2 Channel,T1041,
49,2025-06-19 23:31:16,WIN-HOST-031,3001,Microsoft-Windows-InternetExplorer,Information,Guest,225.164.126.16,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,"""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"" -arg2 /c ""do_something""",C:\Users\Guest\AppData\Local\Temp\0f9d5718.tmp,45249b7cd3796090a405dbf40c62c3b4c33c9ee69547d1cab4f10b269b2479cf,User clicked on compromised web resource.,Initial Access,Drive-by Compromise,T1189,Possible drive-by compromise.
50,2025-06-20 02:29:44,WIN-HOST-043,3,Microsoft-Windows-Sysmon,Information,svc_sql,68.77.97.11,C:\Program Files\Mozilla Firefox\firefox.exe,"""C:\Program Files\Mozilla Firefox\firefox.exe"" -arg6 /c ""do_something""",C:\Users\svc_sql\AppData\Local\Temp\0c939fd4.tmp,fdebe50e7273851072b16849908824e7b056f5541e2255615e2ca61240861e63,Network Connection detected.,Defense Evasion,Masquerading,T1036,
51,2025-08-11 17:19:13,WIN-HOST-005,4625,Microsoft-Windows-Security-Auditing,Warning,alice,235.31.169.242,C:\Program Files\Mozilla Firefox\firefox.exe,"""C:\Program Files\Mozilla Firefox\firefox.exe"" -arg3 /c ""do_something""",C:\Users\alice\AppData\Local\Temp\79993d69.tmp,94a50e0644629a961b18e665c1549efb84146e67729f3edbbb7af6245274395f,Multiple failed logon attempts detected.,Credential Access,Brute Force,T1110,Failed logon count: 10
52,2025-09-15 13:33:54,WIN-HOST-025,4625,Service Control Manager,Information,svc_sql,197.248.188.22,C:\Program Files\OpenSSH\ssh.exe,"""C:\Program Files\OpenSSH\ssh.exe"" -arg6 /c ""do_something""",C:\Users\svc_sql\AppData\Local\Temp\2fe1c299.tmp,67ef55765a3c1be387f291f7fdb1b481174ba734c900887ebe6be01826e29836,Multiple failed logon attempts detected.,Credential Access,Brute Force,T1110,Failed logon count: 19
53,2025-07-13 21:18:54,WIN-HOST-069,7045,Microsoft-Windows-Security-Auditing,Information,john.doe,248.108.44.162,C:\Windows\System32\sc.exe,"""C:\Windows\System32\svchost.exe"" -arg5 /c ""do_something""",C:\Users\john.doe\AppData\Local\Temp\6e9cbfba.tmp,0d1edbd88bd208382ae52a77d5613d588de738176b032c0d8c6d2def6271f1fa,Service installation detected.,Persistence,Create or Modify System Process,T1543,Service created - could be persistence.
54,2025-09-14 03:33:41,WIN-HOST-014,3,Microsoft-Windows-Eventlog,Warning,krbtgt,201.83.91.99,C:\Windows\System32\taskhostw.exe,"""C:\Windows\System32\taskhostw.exe"" -arg5 /c ""do_something""",C:\Users\krbtgt\AppData\Local\Temp\82b5ca7d.tmp,4e07b488b889a1662b52f5a87387dae746cb62ea4035710883d320efd4a3d718,Network scanning activity detected.,Discovery,Network Service Scanning,T1046,Port/protocol scanning pattern observed.
55,2025-06-22 12:42:33,WIN-HOST-074,5145,Microsoft-Windows-Security-Auditing,Information,svc_backup,111.161.119.53,C:\Program Files\7-Zip\7z.exe,"""C:\Program Files\7-Zip\7z.exe"" -arg5 /c ""do_something""",C:\Users\svc_backup\AppData\Local\Temp\31c49821.tmp,62ec00bff1aac8652bed4f36b8904ddfe7e72c9255474659f16d1169239a4768,Access to ADMIN$ share or C$ share.,Lateral Movement,Windows Admin Shares,T1021.002,Possible lateral movement using admin shares.
56,2025-07-10 00:18:49,WIN-HOST-026,1,Microsoft-Windows-Sysmon,Information,john.doe,217.23.135.147,C:\Windows\System32\taskhostw.exe,"""C:\Windows\System32\taskhostw.exe"" -arg3 /c ""do_something""",C:\Users\john.doe\AppData\Local\Temp\9638654e.tmp,23f197464bdc1986aebbf1a5f22897304bda66fbde87f580198c5077c9a907ff,Process Create.,Impact,System Shutdown/Reboot,T1529,
57,2025-08-18 20:01:18,WIN-HOST-053,4663,Microsoft-Windows-Security-Auditing,Information,john.doe,178.124.64.38,C:\Windows\System32\taskhostw.exe,"""C:\Windows\System32\taskhostw.exe"" -arg2 /c ""do_something""",C:\Users\john.doe\AppData\Local\Temp\c459a35c.tmp,ebcd039500ea088ac2c9d06a3bf8fa2fd7b6907b28ac2ad443f5849b768aa2fb,An attempt was made to access an object.,Collection,Input Capture,T1056,
